Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
"Aghalougher Road, 28",0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),WES,WES 30,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,"450m South of 28 Aghalougher Road, Castlederg, BT81 7EX",,Derry City & Strabane District Council,J/2011/0068/F,54.6623,-7.70331,NV 32398 44637,31,44,30,Operational,Fully Commissioned,Consented,19-Feb-13,,1 years after abandonment,,,,,,,,,"19/02/2013 Fully Commissioned ;
09/12/2012 Under construction ;
26/05/2011 Approved ;
11/02/2011 Submitted (LPA)",11-Feb-11,(LPA) ,26-May-11,Approved (LPA) ,,,09-Dec-12,Under construction ,19-Feb-13,,,,,,
Aghamore,11.5,onshore,,McCormick Design,McCormick Design (100%),,,5,2.3,,Northern Ireland,Co. Tyrone,Northern Ireland,Nr Strabane,,Strabane DC,J/2008/0278/F,53.2636,-4.68861,SH 20778 77440,85,120.5,70,Refused,Refused,Refused,06-Dec-12,,,,,,,,,,,"06/12/2012 Refused ;
01/05/2008 Submitted (LPA)",01-May-08,(LPA) ,06-Dec-12,Refused (LPA) ,,,,,,,,,,,
"Aghanglogh Road, 22 Turbine 1",0.225,onshore,,CD Consulting,Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Fermanagh,Northern Ireland,"0.7km north of 22 Aghanglogh Road, Greaghcashel, Lisnaskea, BT92 5BQ",,Enniskillen DC,L/2012/0490/F,54.2478,-7.34917,SA 51698 96784,32,45.5,27,Consented,Approved,Consented,19-Nov-12,18-Nov-17,25 years after fully commissioned,,,,,,,,,"19/11/2012 Approved ;
24/07/2012 Submitted (LPA)",24-Jul-12,(LPA) ,19-Nov-12,Approved (LPA) ,,,,,,,,,,,
"Aghanglogh Road, 22 Turbine 2",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Fermanagh,Northern Ireland,"607m North of 22 Aghanglogh Road, Greaghcashel, Lisnaskea, BT92 5BQ",,Enniskillen DC,L/2013/0231/F,54.2522,-7.36,SA 51031 97327,41.5,56,29,Consented,Approved,Consented,26-Jun-13,24-Jun-18,1 years after abandonment,,,,,,,,,"26/06/2013 Approved ;
02/05/2013 Submitted (LPA)",02-May-13,(LPA) ,26-Jun-13,Approved (LPA) ,,,,,,,,,,,
"Aghincurk Road, 3",0.25,onshore,,NRG Solutions Ltd,NRG Solutions Ltd (100%),,,1,0.25,,Northern Ireland,Co. Armagh,Northern Ireland,"400m north west of 3 Aghhincurk Road Newtownhamilton, BT35 0BB.",,Newry & Mourne Council,P/2010/1391/F,54.2108,-6.56825,SB 02257 89097,40,55,30,Operational,Fully Commissioned,Consented,15-Mar-16,,25 years after fully commissioned,15-Mar-41,,,,,,,,"15/03/2016 Fully Commissioned ;
01/10/2015 Under construction [estimate] ;
18/12/2012 Approved ;
17/11/2010 Submitted (LPA)",17-Nov-10,(LPA) ,18-Dec-12,Approved (LPA) ,,,01-Oct-15,Under construction [Estimate],15-Mar-16,,,,16-Sep-15,An application to inctrease the consented hub height for a single turbine at 3 Aghincurk Road has been approved.,RenewableUK comment
"Aghlisnafin Road, 24",0.1,onshore,,Landowner (private or company),Landowner (private or company) (100%),Northern Power Systems,Northwind 100,1,0.1,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,357m south east of 24 Aghlisnafin Road,,Downpatrick DC,R/2012/0539/F,54.2745,-5.90413,SB 45925 93571,27,37.7,21.5,Operational,Fully Commissioned,Consented,18-Jul-14,,,,,,,,,,,"18/07/2014 Fully Commissioned ;
16/05/2014 Under construction ;
12/11/2013 Approved ;
08/11/2012 Submitted (LPA)",08-Nov-12,(LPA) ,12-Nov-13,Approved (LPA) ,,,16-May-14,Under construction ,18-Jul-14,,,,,,
"Aghnagar Road, 11",0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"11 Aghnagar Road, Tullyvannon, Ballygawley",,Mid Ulster District Council,M/2014/0291/F,54.4932,-6.95313,NV 79393 22170,50,77,54,Consented,Approved,Consented,11-Nov-14,17-Nov-19,0.5 years after abandonment,,,,,,,,,"11/11/2014 Approved ;
06/06/2014 Submitted (LPA)",06-Jun-14,(LPA) ,11-Nov-14,Approved (LPA) ,,,,,,,,,,,
"Aghnagar Road, 33",0.15,onshore,,McKeown & Shields,Landowner (private or company) (100%),Bonus,Bonus B24/150,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"220m south west of 33 Aghnagar Road, Ballygawley, Dungannon, BT70 2HP",,Mid Ulster District Council,M/2013/0374/F,54.502,-6.94845,NV 79765 23126,30,42,24,Operational,Fully Commissioned,Consented,01-Dec-17,,0.5 years after abandonment,,,,,,,,,"01/12/2017 Fully Commissioned [estimate] ;
31/03/2017 Under construction [estimate] ;
09/04/2014 Approved ;
14/08/2013 Submitted (LPA)",14-Aug-13,(LPA) ,09-Apr-14,Approved (LPA) ,,,31-Mar-17,Under construction [Estimate],01-Dec-17,[Estimate],,,,,
"Aghnagar Road, 41",0.225,onshore,,Lissan Design,Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Tyrone,Northern Ireland,"240m South of 41 Aghnagar Road, Ballykeel, Sixmilecross",,Omagh District Council,K/2012/0298/F,54.5314,-7.11895,NV 68975 27182,32.5,46,27,Refused,Refused on appeal,Refused,15-May-13,,,,,,,,,,,"15/05/2013 Refused on appeal ;
01/01/2013 On appeal ;
16/10/2012 Refused ;
08/06/2012 Submitted (LPA)",08-Jun-12,(LPA) ,16-Oct-12,Refused (LPA) ,15-May-13,Refused on appeal ,,,,,,,,,
"Aghnagar Road, 49",0.25,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Vergnet,Vergnet GEV MP-R,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"400m South West of 49 Aghnagar Road, Sixmilecross",,Omagh District Council,K/2011/0518/F,54.5303,-7.12813,NV 68373 27106,32.3,45.3,30,Operational,Fully Commissioned,Consented,20-Sep-13,,1 years after abandonment,,,,,,,,,"20/09/2013 Fully Commissioned ;
01/05/2013 Under construction [estimate] ;
19/10/2012 Approved ;
23/08/2011 Submitted (LPA)",23-Aug-11,(LPA) ,19-Oct-12,Approved (LPA) ,,,01-May-13,Under construction [Estimate],20-Sep-13,,,,,,
"Aghnagar Road, 49 Turbine 2",0.25,onshore,,Gravis Planning Ltd,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Tyrone,Northern Ireland,"365m south west of 49 Aghnagar Road, Beragh",,Fermanagh & Omagh District Council,LA10/2015/0097/F,54.5295,-7.12562,NV 68529 27007,30,47.5,35,Refused,Refused,Refused,03-May-16,,,,,,,,,,,"03/05/2016 Refused ;
01/05/2015 Submitted (LPA)",01-May-15,(LPA) ,03-May-16,Refused (LPA) ,,,,,,,,,,,
"Aghnagar Road, 90",0.25,onshore,,Gravis Planning Ltd,Landowner (private or company) (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"350m NW of 90 Aghnagar Road, Dungannon",,Mid Ulster District Council,M/2012/0353/F,54.5183,-6.95219,NV 79651 24952,32.4,48.3,32,Consented,Approved,Consented,20-Aug-13,19-Aug-18,25 years after fully commissioned,,,,,,,,,"20/08/2013 Approved ;
27/06/2012 Submitted (LPA)",27-Jun-12,(LPA) ,20-Aug-13,Approved (LPA) ,,,,,,,,,,,
"Aghnaglea Road, 17 (Replacement)",0.15,onshore,,McKernaghan Architectural Services Ltd,Landowner (private or company) (100%),Vestas,Vestas V39,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"30m East of 17 Aghnaglea Road, Sixmilecross",,Fermanagh & Omagh District Council,LA10/2019/0720/F,54.5625,-7.10363,NV 70217 30570,52,71.8,39,Consented,Approved,Consented,03-Oct-19,02-Oct-24,1 years after abandonment,,,,,Replaced,"Aghnaglea Road, 17 (Resubmission) [Fully Commissioned, 24-Jul-2014, 0.15MW]",,,"03/10/2019 Approved ;
14/06/2019 Submitted (LPA)",14-Jun-19,(LPA) ,03-Oct-19,Approved (LPA) ,,,,,,,,,03-Oct-19,Permission has been granted for a replacement turbine at 17 Aghnaglea Road,RenewableUK comment
"Aghnaglea Road, 17 (Resubmission)",0.15,onshore,,Landowner (private or company),Landowner (private or company) (100%),Vestas,Vestas V27,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"30m east of 17 Aghnaglea Road, Sixmilecross, Omagh, BT79 9NP",,Omagh District Council,K/2011/0397/F,54.5625,-7.10363,NV 70217 30572,30,43.5,27,Operational,Fully Commissioned,Consented,24-Jul-14,,Not specified,,,Replaced,"Aghnaglea Road, 17 (Replacement) [Approved, 3-Oct-2019, 0.15MW]",,,,,"24/07/2014 Fully Commissioned ;
01/02/2014 Under construction [estimate] ;
08/06/2012 Approved ;
17/06/2011 Submitted (LPA)",17-Jun-11,(LPA) ,08-Jun-12,Approved (LPA) ,,,01-Feb-14,Under construction [Estimate],24-Jul-14,,,"Aghnaglea Road, 17",,,
"Aghnaglea Road, 28",0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),NEG Micon,M530,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"90m South West of 28 Aughnaglea Road, Sixemilecross, Omagh, BT79 9NP",,Omagh District Council,K/2014/0029/F,54.5649,-7.09948,NV 70505 30823,30,43.5,27,Operational,Fully Commissioned,Consented,30-Aug-16,,25 years after fully commissioned,30-Aug-41,,,,,,,,"30/08/2016 Fully Commissioned [estimate] ;
01/03/2016 Under construction [estimate] ;
27/04/2015 Approved ;
21/01/2014 Submitted (LPA)",21-Jan-14,(LPA) ,27-Apr-15,Approved (LPA) ,,,01-Mar-16,Under construction [Estimate],30-Aug-16,[Estimate],,,,,
"Aghnagreggan Road, 25 Turbine 1",0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"340m NE of 25 Aghnagreggan Road, Carrickmore",,Omagh District Council,K/2012/0188/F,54.6091,-7.07441,NV 72479 35610,40,53.5,27,Operational,Fully Commissioned,Consented,27-Apr-17,,25 years after fully commissioned,,,,,,,,,"27/04/2017 Fully Commissioned ;
01/12/2016 Under construction [estimate] ;
05/11/2013 Approved ;
19/04/2012 Submitted (LPA)",19-Apr-12,(LPA) ,05-Nov-13,Approved (LPA) ,,,01-Dec-16,Under construction [Estimate],27-Apr-17,,,,06-Mar-17,An application to vary the make and model of a consented turbine at 25 Aghnagreggan Road has been withdrawn.,LA10/2017/0199/NMC (Planning reference)
"Aghnagreggan Road, 25 Turbine 2",0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"410m North East of 25 Aghnagreggan Road, Carrickmore",,Omagh District Council,K/2012/0189/F,54.6077,-7.07185,NV 72633 35449,40,53.5,27,Under construction,Under construction,Consented,01-May-19,,25 years after fully commissioned,,,,,,,,,"01/05/2019 Under construction [estimate] ;
09/09/2014 Approved ;
19/04/2012 Submitted (LPA)",19-Apr-12,(LPA) ,09-Sep-14,Approved (LPA) ,,,01-May-19,Under construction [Estimate],,,,,,,
"Aghory Road, 111",0.225,onshore,,Si Energy Ltd,Landowner (private or company) (100%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Armagh,Northern Ireland,"70 metres south west from 111 Aghory Road, Portadown, BT62 3ST",,"Armagh City, Banbridge & Craigavon Borough Council",O/2011/0066/F,54.3579,-6.50412,NW 07481 05180,31,44.5,27,Operational,Fully Commissioned,Consented,19-Nov-15,,0.1 years after abandonment,,,Replaced,"Aghory Road, 111 (Replacement) [Submitted (LPA), 18-Apr-2019, 0.85MW]",,,,,"19/11/2015 Fully Commissioned ;
01/07/2015 Under construction [estimate] ;
14/01/2012 Approved ;
15/02/2011 Submitted (LPA)",15-Feb-11,(LPA) ,14-Jan-12,Approved (LPA) ,,,01-Jul-15,Under construction [Estimate],19-Nov-15,,,,,,
"Aghyoule Road, 40",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),Vestas,Vestas V39,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Fermanagh,Northern Ireland,"755m South East of 40 Aghyoule Road, Derrylin, BT92 9AP",,Fermanagh & Omagh District Council,L/2013/0109/F,54.1672,-7.58959,SA 35344 89043,50,69.5,39,Operational,Fully Commissioned,Consented,15-Jan-16,,1 years after abandonment,,,Replaced,"Aghyoule Road, 40 (Replacement) [Approved, 14-Jan-2019, 0.25MW]",,,,,"15/01/2016 Fully Commissioned ;
01/09/2015 Under construction [estimate] ;
14/08/2013 Approved ;
04/03/2013 Submitted (LPA)",04-Mar-13,(LPA) ,14-Aug-13,Approved (LPA) ,,,01-Sep-15,Under construction [Estimate],15-Jan-16,,,,03-Sep-14,Permission has been granted for a 250kw wind turbine with 69.5m tip height in substitution for two turbines previously approved.,RenewableUK comment
"Aghyoule Road, 40 (Replacement)",0.25,onshore,,CD Consulting,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Fermanagh,Northern Ireland,"755m East of 40 Aghyoule Road, Derrylin, BT92 9AY",,Fermanagh & Omagh District Council,LA10/2018/0962/F,54.1672,-7.58959,SA 35344 89043,50,76,52,Consented,Approved,Consented,14-Jan-19,13-Jan-24,1 years after abandonment,,,,,Replaced,"Aghyoule Road, 40 [Fully Commissioned, 15-Jan-2016, 0.25MW]",,,"14/01/2019 Approved ;
20/07/2018 Submitted (LPA)",20-Jul-18,(LPA) ,14-Jan-19,Approved (LPA) ,,,,,,,,,14-Jan-19,Fermanagh & Omagh District Council has granted permission for a 65m tip turbine to replace an existing turbine at 40 Aghyoule Road.,RenewableUK comment
"Agivey Road, 21",0.25,onshore,,2020 Architects,GPS Renewables Ltd (100%),Vestas,Vestas V27,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"421m East of 21 Agivey Road, Kilrea, BT51 5UT",,Causeway Coast & Glens Borough Council,C/2013/0179/F,54.9617,-6.55222,NW 08718 72494,30,44,27,Consented,Approved,Consented,28-Oct-14,27-Oct-19,25 years after abandonment,,,,,,,,,"28/10/2014 Approved ;
20/05/2013 Submitted (LPA)",20-May-13,(LPA) ,28-Oct-14,Approved (LPA) ,,,,,,,,,,,
Agney,8,onshore,,Airvolution Energy Ltd,Airvolution Energy Ltd (100%),,,4,2,,England,Kent,South East,Old Romney,,Folkestone & Hythe District Council,Y13/0048/SH,50.9678,0.864722,TR 01241 22616,,126,,Withdrawn,Withdrawn from appeal,Consented,19-Apr-16,,,,,,,,,,,"19/04/2016 Withdrawn from appeal ;
14/04/2015 On appeal [non-determination] ;
22/01/2013 Submitted (LPA)",22-Jan-13,(LPA) ,,Not determined ,19-Apr-16,Withdrawn from appeal ,,,,,,,14-Apr-15,Airvolution has lodged an appeal on grounds of non determination.,RenewableUK comment
Aigle Gill Farm,0.275,onshore,,ICE Renewables Ltd,Landowner (private or company) (100%),,,1,0.275,,England,Cumbria,North West,Hayton,,Allerdale Borough Council,2/2013/0242,54.765,-3.37083,NY 11896 41981,55,71,,Refused,Refused on appeal,Refused,07-Aug-14,,,,,,,,,,,"07/08/2014 Refused on appeal ;
10/10/2013 On appeal ;
14/08/2013 Refused ;
09/04/2013 Submitted (LPA)",09-Apr-13,(LPA) ,14-Aug-13,Refused (LPA) ,07-Aug-14,Refused on appeal ,,,,,,,,,
Aikengall,48,onshore,,Community Windpower Ltd,Community Windpower Ltd (100%),Vestas,Vestas V90-3.0,16,3,Horizontal axis turbine,Scotland,East Lothian,Scotland,"Innerwick, Dunbar",,East Lothian Council,05/00216/FUL,55.9267,-2.45778,NT 71493 70498,80,125,90,Operational,Fully Commissioned,Consented,30-Mar-09,,25 years after fully commissioned,30-Mar-34,,,,,,,,"30/03/2009 Fully Commissioned ;
01/01/2008 Under construction ;
30/07/2007 Approved ;
24/02/2005 Submitted (LPA)",24-Feb-05,(LPA) ,30-Jul-07,Approved (LPA) ,,,01-Jan-08,Under construction ,30-Mar-09,,,,,,
Aikengall II - Wester Dod,60.8,onshore,,Community Windpower Ltd,Community Windpower Ltd (100%),Siemens,SWT-3.2-113,19,3.2,Horizontal axis turbine,Scotland,East Lothian,Scotland,"Innerwick, Dunbar",,East Lothian / Scottish Borders,,55.9086,-2.45917,NT 71393 68484,,145,,Operational,Fully Commissioned,Consented,01-Nov-17,,25 years after fully commissioned,25-Oct-42,,,,,,storage,storage: Aikengall II Battery Storage [Approved] ?MW,"01/11/2017 Fully Commissioned ;
01/09/2014 Under construction ;
05/03/2013 Approved ;
07/09/2009 Submitted (S36)",07-Sep-09,(S36) ,05-Mar-13,Approved (S36) ,,,01-Sep-14,Under construction ,01-Nov-17,,,,01-Nov-17,Aikengall II Community Wind Farm became operational in November 2017.,http://www.communitywindpower.co.uk/projects/aikengall-ii/3.htm
Aikengall IIa,75.5,onshore,,Community Windpower Ltd,Community Windpower Ltd (100%),,,19,4,,Scotland,East Lothian,Scotland,"Innerwick, Dunbar",,East Lothian / Scottish Borders,,55.8933,-2.4525,NT 71799 66778,90,145,110,Consented,Approved,Consented,19-Oct-16,19-Oct-21,25 years after fully commissioned,,,,,,,,,"19/10/2016 Approved ;
01/02/2014 Submitted (S36)",01-Feb-14,(S36) ,19-Oct-16,Approved (S36) ,,,,,,,,,25-Jun-19,Scottish Ministers are adopting a screening opinion on Community Wind Power's proposal to increase the height of one turbine at Aikengall IIa and is consulting with the local council planning authorities on whether an EIA is required to support the variance application.,RenewableUK comment
Airdrie Farm,0.5,onshore,,Wind Harvest Ltd,Constantine Wind Energy Ltd (100%),Enercon,Enercon E48,1,0.5,Horizontal axis turbine,Scotland,Fife,Scotland,"Airdrie Farm, Lochton, Crail, Anstruther, KY10 3LE",,Fife Council,13/00294/FULL,56.2665,-2.70678,NO 56321 08447,50,74,48,Operational,Fully Commissioned,Consented,15-Jan-15,,25 years after fully commissioned,15-Jan-40,,,,,,,,"15/01/2015 Fully Commissioned [estimate] ;
18/12/2014 Under construction [estimate] ;
13/03/2014 Pre-Construction ;
20/08/2013 Approved ;
05/02/2013 Submitted (LPA) ;
07/11/2012 Scoping Opinion Issued ;
04/09/2012 Scoping",05-Feb-13,(LPA) ,20-Aug-13,Approved (LPA) ,,,18-Dec-14,Under construction [Estimate],15-Jan-15,[Estimate],,,,,
Airfield Farm,20.7,onshore,,Vattenfall Wind Power Ltd,Vattenfall Wind Power Ltd (100%),,,9,2.3,,England,Bedfordshire,East of England,Podington,,Bedford Borough Council,05/02589/MAF,52.2144,-0.613333,SP 94837 58260,80,125,90,Refused,Refused,Refused,01-Jun-07,,,,,,,,,,,"01/06/2007 Refused ;
01/09/2005 Submitted (LPA)",01-Sep-05,(LPA) ,01-Jun-07,Refused (LPA) ,,,,,,,Airfield Farm (Resubmission),,,,
Airfield Farm (Resubmission),8.55,onshore,,Airvolution Energy Ltd,Capital Dynamics (100%),GE,GE 2.85-103,3,2.85,Horizontal axis turbine,England,Bedfordshire,East of England,Podington,,Bedford Borough Council,08/02692/MAF,52.2358,-0.607778,SP 95171 60647,,126,,Operational,Fully Commissioned,Consented,01-Mar-17,,24 years after first generation,11-Feb-42,,,,,,,,"01/03/2017 Fully Commissioned ;
11/02/2017 Partial Operation ;
08/12/2016 Under construction ;
13/08/2012 Approved on appeal [non-determination] ;
01/01/2011 On appeal [non-determination] ;
25/09/2008 Submitted (LPA)",25-Sep-08,(LPA) ,,Not determined ,13-Aug-12,Approved on appeal [Non determination],08-Dec-16,Under construction ,01-Mar-17,,,Airfield Farm,01-Mar-17,The Airfield Farm wind farm was completed February / March 2017,RenewableUK comment
Airfield Road,0.33,onshore,,AGR Renewables Ltd,AGR Renewables Ltd (100%),,,1,0.33,,England,Cumbria,North West,"Wiggonby, Wigton",,Allerdale Borough Council,2/2012/0682,54.8742,-3.09167,NY 30047 53817,,62,,Refused,Refused on appeal,Refused,09-Jan-14,,,,,,,,,,,"09/01/2014 Refused on appeal ;
06/02/2013 On appeal [non-determination] ;
07/12/2012 Submitted (LPA)",07-Dec-12,(LPA) ,,Not determined ,09-Jan-14,Refused on appeal ,,,,,,,06-Feb-13,An appeal lodged on grounds  of non determination. Appeal reference - APP/G0908/A/13/2192507,RenewableUK comment
"Airfield Road, 62b",0.15,onshore,,Newline Architects,Landowner (private or company) (100%),,,1,0.15,,Northern Ireland,Co. Antrim,Northern Ireland,"60m South of 62B Airfield Road, Toome, BT41 3SQ",,Mid Ulster District Council,H/2013/0206/F,54.7514,-6.51117,NW 09835 48945,40,52,24,Operational,Fully Commissioned,Consented,31-May-16,,1 years after abandonment,,,,,,,,,"31/05/2016 Fully Commissioned ;
01/12/2015 Under construction [estimate] ;
30/06/2015 Approved ;
07/06/2013 Submitted (LPA)",07-Jun-13,(LPA) ,30-Jun-15,Approved (LPA) ,,,01-Dec-15,Under construction [Estimate],31-May-16,,,,,,
Airies,39.9,onshore,,Forsa Energy Ltd,NTR Plc (100%),GE,GE 2.85-103,14,2.85,Horizontal axis turbine,Scotland,Dumfries & Galloway,Scotland,Glenluce,,Dumfries & Galloway Council,12/P/1/0271,54.9739,-4.7075,NX 26808 67720,85.5,137,103,Operational,Fully Commissioned,Consented,30-Sep-17,,25 years after first generation,15-Mar-42,,,,,,,,"30/09/2017 Fully Commissioned ;
15/03/2017 Partial Operation ;
01/01/2016 Under construction ;
27/02/2013 Approved ;
08/03/2012 Submitted (LPA)",08-Mar-12,(LPA) ,27-Feb-13,Approved (LPA) ,,,01-Jan-16,Under construction ,30-Sep-17,,,,06-Oct-16,NTR has added to its portfolio with the acquisition of the Airies project. The project is currently under construction and features 14 GE 2.85MW turbines.,http://www.ntrplc.com/news/article/ntr-plc-acquires-a-further-64mw-of-onshore-wind?mc_cid=b237fb3a05&mc_eid=dbaa54b420
